node1,node2
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
2,24
22,26
25,26
25,7

27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
39,41
41,42
42,43
43,44
43,51
51,45
45,53
53,52
53,46
51,50
50,34
37,47
47,48
48,49
49,50

54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
70,72
72,73
73,74
73,75
75,76
54,76
75,77
72,77
77,79
79,80
80,81
81,61
81,60
72,85
68,82
82,83
83,84
84,71

86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,110
110,86
108,111
111,112
112,113
113,114
114,94
113,115
115,100

116,13
116,26

6,32
32,59
59,93

106,69

24,117
115,118
