floor,number,capacity,type,location
H-4,431,200,CLASSROOM|OFFICE,1
H-4,429,200,CLASSROOM|OFFICE,2
H-4,423,200,CLASSROOM|OFFICE,3
H-4,421,200,CLASSROOM|OFFICE,5
H-4,411,200,CLASSROOM|OFFICE,6
H-4,415,200,CLASSROOM|OFFICE,4
H-4,418,200,CLASSROOM|OFFICE,4
H-4,486,200,CLASSROOM|OFFICE,6
H-4,424,200,CLASSROOM|OFFICE,3
H-4,422,200,CLASSROOM|OFFICE,3
H-4,420,200,CLASSROOM|OFFICE,3
H-4,438,200,CLASSROOM|OFFICE,24
H-4,435,200,CLASSROOM|OFFICE,23
H-4,409,200,CLASSROOM|OFFICE,7
H-4,407,200,CLASSROOM|OFFICE,8
H-4,405,200,CLASSROOM|OFFICE,9
H-4,442,200,CLASSROOM|OFFICE,18
H-4,458,200,CLASSROOM|OFFICE,13
H-4,455,200,CLASSROOM|OFFICE,15
H-4,439,200,CLASSROOM|OFFICE,15
H-4,437,200,CLASSROOM|OFFICE,20

H-5,531,200,CLASSROOM,27
H-5,529,200,CLASSROOM,28
H-5,527,200,CLASSROOM,29
H-5,525,200,CLASSROOM,29
H-5,523,200,CLASSROOM,30
H-5,521,200,CLASSROOM,31
H-5,517,200,CLASSROOM,31
H-5,515,200,CLASSROOM,31
H-5,513,200,CLASSROOM,31
H-5,511,200,CLASSROOM,32
H-5,509,200,CLASSROOM,34
H-5,507,200,CLASSROOM,35
H-5,501,200,CLASSROOM,36
H-5,565,200,CLASSROOM,36
H-5,561,200,CLASSROOM,36
H-5,557,200,CLASSROOM,37
H-5,553,200,CLASSROOM,38
H-5,543,200,CLASSROOM,40
H-5,541,200,CLASSROOM,40
H-5,535,200,CLASSROOM,46
H-5,585,200,CLASSROOM,45
H-5,533,200,CLASSROOM,45
H-5,537,200,CLASSROOM,44
H-5,539,200,CLASSROOM,44
H-5,520,200,CLASSROOM,29
H-5,580,200,CLASSROOM,50
H-5,570,200,CLASSROOM,49
H-5,568,200,CLASSROOM,49
H-5,566,200,CLASSROOM,48
H-5,560,200,CLASSROOM,47
H-5,558,200,CLASSROOM,47
H-5,556,200,CLASSROOM,47
H-5,540,200,CLASSROOM,48
H-5,564,200,CLASSROOM,48
H-5,562,200,CLASSROOM,41
H-5,544,200,CLASSROOM,41
